duplicate_group,sha256,size_bytes,source_label,source_path,by_type_path,category,subcategory
DUP0001,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,JARVIS-ChatGPT-main_1,00_sources_preserved/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/TTS/tts/utils/__init__.py,01_by_type/code/python/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/TTS/tts/utils/__init__.py,code,python
DUP0001,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,JARVIS-ChatGPT-main_1,00_sources_preserved/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/TTS/tts/utils/monotonic_align/__init__.py,01_by_type/code/python/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/TTS/tts/utils/monotonic_align/__init__.py,code,python
DUP0001,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,JARVIS-ChatGPT-main_1,00_sources_preserved/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/TTS/tts/utils/text/chinese_mandarin/__init__.py,01_by_type/code/python/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/TTS/tts/utils/text/chinese_mandarin/__init__.py,code,python
DUP0001,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,JARVIS-ChatGPT-main_1,00_sources_preserved/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/TTS/tts/utils/text/english/__init__.py,01_by_type/code/python/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/TTS/tts/utils/text/english/__init__.py,code,python
DUP0001,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,JARVIS-ChatGPT-main_1,00_sources_preserved/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/TTS/tts/utils/text/french/__init__.py,01_by_type/code/python/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/TTS/tts/utils/text/french/__init__.py,code,python
DUP0001,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,JARVIS-ChatGPT-main_1,00_sources_preserved/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/TTS/tts/utils/text/japanese/__init__.py,01_by_type/code/python/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/TTS/tts/utils/text/japanese/__init__.py,code,python
DUP0001,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,JARVIS-ChatGPT-main_1,00_sources_preserved/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/TTS/tts/utils/text/korean/__init__.py,01_by_type/code/python/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/TTS/tts/utils/text/korean/__init__.py,code,python
DUP0001,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,JARVIS-ChatGPT-main_1,00_sources_preserved/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/TTS/utils/__init__.py,01_by_type/code/python/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/TTS/utils/__init__.py,code,python
DUP0001,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,JARVIS-ChatGPT-main_1,00_sources_preserved/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/TTS/vc/configs/__init__.py,01_by_type/code/python/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/TTS/vc/configs/__init__.py,code,python
DUP0001,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,JARVIS-ChatGPT-main_1,00_sources_preserved/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/TTS/vc/modules/__init__.py,01_by_type/code/python/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/TTS/vc/modules/__init__.py,code,python
DUP0001,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,JARVIS-ChatGPT-main_1,00_sources_preserved/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/TTS/vc/modules/freevc/__init__.py,01_by_type/code/python/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/TTS/vc/modules/freevc/__init__.py,code,python
DUP0001,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,JARVIS-ChatGPT-main_1,00_sources_preserved/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/TTS/vc/modules/freevc/speaker_encoder/__init__.py,01_by_type/code/python/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/TTS/vc/modules/freevc/speaker_encoder/__init__.py,code,python
DUP0001,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,JARVIS-ChatGPT-main_1,00_sources_preserved/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/TTS/vocoder/__init__.py,01_by_type/code/python/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/TTS/vocoder/__init__.py,code,python
DUP0001,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,JARVIS-ChatGPT-main_1,00_sources_preserved/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/TTS/vocoder/layers/__init__.py,01_by_type/code/python/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/TTS/vocoder/layers/__init__.py,code,python
DUP0001,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,JARVIS-ChatGPT-main_1,00_sources_preserved/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/TTS/vocoder/utils/__init__.py,01_by_type/code/python/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/TTS/vocoder/utils/__init__.py,code,python
DUP0001,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,Realtime-Synthetic-Call-Center-Agents-main_1,00_sources_preserved/Realtime-Synthetic-Call-Center-Agents-main_1/Realtime-Synthetic-Call-Center-Agents-main/src/frontend/postcss.config.js,01_by_type/code/javascript/Realtime-Synthetic-Call-Center-Agents-main_1/Realtime-Synthetic-Call-Center-Agents-main/src/frontend/postcss.config.js,code,javascript
DUP0001,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,Realtime-Synthetic-Call-Center-Agents-main_1,00_sources_preserved/Realtime-Synthetic-Call-Center-Agents-main_1/Realtime-Synthetic-Call-Center-Agents-main/src/frontend/public/audioProcessor.js,01_by_type/code/javascript/Realtime-Synthetic-Call-Center-Agents-main_1/Realtime-Synthetic-Call-Center-Agents-main/src/frontend/public/audioProcessor.js,code,javascript
DUP0001,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,Synthetic-Voice-Detection-Vocoder-Artifacts-main_1,00_sources_preserved/Synthetic-Voice-Detection-Vocoder-Artifacts-main_1/Synthetic-Voice-Detection-Vocoder-Artifacts-main/core_scripts/__init__.py,01_by_type/code/python/Synthetic-Voice-Detection-Vocoder-Artifacts-main_1/Synthetic-Voice-Detection-Vocoder-Artifacts-main/core_scripts/__init__.py,code,python
DUP0001,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,Synthetic-Voice-Detection-Vocoder-Artifacts-main_1,00_sources_preserved/Synthetic-Voice-Detection-Vocoder-Artifacts-main_1/Synthetic-Voice-Detection-Vocoder-Artifacts-main/core_scripts/config_parse/__init__.py,01_by_type/code/python/Synthetic-Voice-Detection-Vocoder-Artifacts-main_1/Synthetic-Voice-Detection-Vocoder-Artifacts-main/core_scripts/config_parse/__init__.py,code,python
DUP0001,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,Synthetic-Voice-Detection-Vocoder-Artifacts-main_1,00_sources_preserved/Synthetic-Voice-Detection-Vocoder-Artifacts-main_1/Synthetic-Voice-Detection-Vocoder-Artifacts-main/core_scripts/data_io/__init__.py,01_by_type/code/python/Synthetic-Voice-Detection-Vocoder-Artifacts-main_1/Synthetic-Voice-Detection-Vocoder-Artifacts-main/core_scripts/data_io/__init__.py,code,python
DUP0001,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,Synthetic-Voice-Detection-Vocoder-Artifacts-main_1,00_sources_preserved/Synthetic-Voice-Detection-Vocoder-Artifacts-main_1/Synthetic-Voice-Detection-Vocoder-Artifacts-main/core_scripts/math_tools/__init__.py,01_by_type/code/python/Synthetic-Voice-Detection-Vocoder-Artifacts-main_1/Synthetic-Voice-Detection-Vocoder-Artifacts-main/core_scripts/math_tools/__init__.py,code,python
DUP0001,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,Synthetic-Voice-Detection-Vocoder-Artifacts-main_1,00_sources_preserved/Synthetic-Voice-Detection-Vocoder-Artifacts-main_1/Synthetic-Voice-Detection-Vocoder-Artifacts-main/core_scripts/other_tools/__init__.py,01_by_type/code/python/Synthetic-Voice-Detection-Vocoder-Artifacts-main_1/Synthetic-Voice-Detection-Vocoder-Artifacts-main/core_scripts/other_tools/__init__.py,code,python
DUP0002,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,1,JARVIS-ChatGPT-main_1,00_sources_preserved/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/Assistant/Chat.py,01_by_type/code/python/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/Assistant/Chat.py,code,python
DUP0002,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,1,JARVIS-ChatGPT-main_1,00_sources_preserved/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/TTS.egg-info/dependency_links.txt,01_by_type/other/txt/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/TTS.egg-info/dependency_links.txt,other,txt
DUP0002,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,1,JARVIS-ChatGPT-main_1,00_sources_preserved/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/TTS.egg-info/not-zip-safe,01_by_type/other_no_extension/no_extension/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/TTS.egg-info/not-zip-safe,other_no_extension,no_extension
DUP0003,0e078e409a457f8d943f1a9c9555a298429000cb35d3512656b6cd0955ad84e7,2747,JARVIS-ChatGPT-main_1,00_sources_preserved/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/saved_chats/2023-03-30_ExploringtheColdestTemperaturesonEarthRecordBreakingLowTemperaturesandHistoricalEstimates.txt,01_by_type/other/txt/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/saved_chats/2023-03-30_ExploringtheColdestTemperaturesonEarthRecordBreakingLowTemperaturesandHistoricalEstimates.txt,other,txt
DUP0003,0e078e409a457f8d943f1a9c9555a298429000cb35d3512656b6cd0955ad84e7,2747,JARVIS-ChatGPT-main_1,00_sources_preserved/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/saved_chats/2023-03-30_ExtremeColdTemperatures.txt,01_by_type/other/txt/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/saved_chats/2023-03-30_ExtremeColdTemperatures.txt,other,txt
DUP0004,1ccb06e70f4bdc441338a745330bed5852993b0fa5c8f786cd7764e76ab95256,1989,JARVIS-ChatGPT-main_1,00_sources_preserved/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/saved_chats/2023-03-26_ExploringtheUseofTransformersinImageSegmentation.txt,01_by_type/other/txt/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/saved_chats/2023-03-26_ExploringtheUseofTransformersinImageSegmentation.txt,other,txt
DUP0004,1ccb06e70f4bdc441338a745330bed5852993b0fa5c8f786cd7764e76ab95256,1989,JARVIS-ChatGPT-main_1,00_sources_preserved/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/saved_chats/2023-03-26_TagImageSegmentation.txt,01_by_type/other/txt/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/saved_chats/2023-03-26_TagImageSegmentation.txt,other,txt
DUP0005,269dc326b59a104b77f4135b67f46ef67ca71535cdd8747180f96908d4dbcd52,2882,JARVIS-ChatGPT-main_1,00_sources_preserved/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/saved_chats/2023-04-02_SoundCardComponentsandADC.txt,01_by_type/other/txt/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/saved_chats/2023-04-02_SoundCardComponentsandADC.txt,other,txt
DUP0005,269dc326b59a104b77f4135b67f46ef67ca71535cdd8747180f96908d4dbcd52,2882,JARVIS-ChatGPT-main_1,00_sources_preserved/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/saved_chats/2023-04-02_UnderstandingtheComponentsofaSoundCardandtheFunctionofADC.txt,01_by_type/other/txt/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/saved_chats/2023-04-02_UnderstandingtheComponentsofaSoundCardandtheFunctionofADC.txt,other,txt
DUP0006,313a7251dfa0e639c45add0556843eb3596992657b6937e551f1ac8523ffc47c,4688,JARVIS-ChatGPT-main_1,00_sources_preserved/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/saved_chats/2023-03-28_ChoosingAppleComputer.txt,01_by_type/other/txt/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/saved_chats/2023-03-28_ChoosingAppleComputer.txt,other,txt
DUP0006,313a7251dfa0e639c45add0556843eb3596992657b6937e551f1ac8523ffc47c,4688,JARVIS-ChatGPT-main_1,00_sources_preserved/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/saved_chats/2023-03-28_ChoosingtheRightAppleComputerforDeepLearningandMachineLearningM1vsM2ChipandOptimalMemorySize.txt,01_by_type/other/txt/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/saved_chats/2023-03-28_ChoosingtheRightAppleComputerforDeepLearningandMachineLearningM1vsM2ChipandOptimalMemorySize.txt,other,txt
DUP0007,40e0dc5c0d4526598e87a205f70f17210c9f6edf53bcd3234918f9763ffd0e20,14643368,JARVIS-ChatGPT-main_1,00_sources_preserved/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/Assistant/voices/default.wav,01_by_type/audio/wav/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/Assistant/voices/default.wav,audio,wav
DUP0007,40e0dc5c0d4526598e87a205f70f17210c9f6edf53bcd3234918f9763ffd0e20,14643368,JARVIS-ChatGPT-main_1,00_sources_preserved/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/Assistant/voices/jarvis_en.wav,01_by_type/audio/wav/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/Assistant/voices/jarvis_en.wav,audio,wav
DUP0008,457154ec819cca63a5b4098484d2679a2914daa7296c7411ffadfff39c7c7719,2209,JARVIS-ChatGPT-main_1,00_sources_preserved/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/saved_chats/2023-03-26_FlutterDevelopment.txt,01_by_type/other/txt/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/saved_chats/2023-03-26_FlutterDevelopment.txt,other,txt
DUP0008,457154ec819cca63a5b4098484d2679a2914daa7296c7411ffadfff39c7c7719,2209,JARVIS-ChatGPT-main_1,00_sources_preserved/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/saved_chats/2023-03-26_FlutterDevelopmentLearningMethodsandManagingAppState.txt,01_by_type/other/txt/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/saved_chats/2023-03-26_FlutterDevelopmentLearningMethodsandManagingAppState.txt,other,txt
DUP0009,5bf1b571b89ee62dbd5bb9f2c07bfd33fbf67e93632dedbb6da4ba4360461f4e,785,JARVIS-ChatGPT-main_1,00_sources_preserved/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/saved_chats/2023-03-30_TagSkyColors.txt,01_by_type/other/txt/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/saved_chats/2023-03-30_TagSkyColors.txt,other,txt
DUP0009,5bf1b571b89ee62dbd5bb9f2c07bfd33fbf67e93632dedbb6da4ba4360461f4e,785,JARVIS-ChatGPT-main_1,00_sources_preserved/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/saved_chats/2023-03-30_TheColorsoftheSkyExploringtheHuesandVariations.txt,01_by_type/other/txt/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/saved_chats/2023-03-30_TheColorsoftheSkyExploringtheHuesandVariations.txt,other,txt
DUP0010,6a06956c9412db9d561567fe5ec372fc94215a79e23dfa2d5054b7a26897f826,3133,JARVIS-ChatGPT-main_1,00_sources_preserved/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/saved_chats/2023-04-01_IslandTravel.txt,01_by_type/other/txt/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/saved_chats/2023-04-01_IslandTravel.txt,other,txt
DUP0010,6a06956c9412db9d561567fe5ec372fc94215a79e23dfa2d5054b7a26897f826,3133,JARVIS-ChatGPT-main_1,00_sources_preserved/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/saved_chats/2023-04-01_RegalieattivitàperunviaggioinIslanda.txt,01_by_type/other/txt/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/saved_chats/2023-04-01_RegalieattivitàperunviaggioinIslanda.txt,other,txt
DUP0011,76cede7ae26c4990c9354d686c1f64919fe4d9d1109a6a5d22b97e88a24e741d,2387,JARVIS-ChatGPT-main_1,00_sources_preserved/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/saved_chats/2023-04-03_ExploringMultiHeadSelfAttentionforKeywordIdentificationinNaturalLanguageProcessing.txt,01_by_type/other/txt/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/saved_chats/2023-04-03_ExploringMultiHeadSelfAttentionforKeywordIdentificationinNaturalLanguageProcessing.txt,other,txt
DUP0011,76cede7ae26c4990c9354d686c1f64919fe4d9d1109a6a5d22b97e88a24e741d,2387,JARVIS-ChatGPT-main_1,00_sources_preserved/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/saved_chats/2023-04-03_TagNaturalLanguageProcessing.txt,01_by_type/other/txt/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/saved_chats/2023-04-03_TagNaturalLanguageProcessing.txt,other,txt
DUP0012,8e04e1c26856455393097a3087fc199ff362250926b60ff3c9d475ace6c394cd,2552,JARVIS-ChatGPT-main_1,00_sources_preserved/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/saved_chats/2023-03-29_InteractiveSystem.txt,01_by_type/other/txt/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/saved_chats/2023-03-29_InteractiveSystem.txt,other,txt
DUP0012,8e04e1c26856455393097a3087fc199ff362250926b60ff3c9d475ace6c394cd,2552,JARVIS-ChatGPT-main_1,00_sources_preserved/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/saved_chats/2023-03-29_TraininganInteractiveSystemtoRespondtoCommandsandQuestions.txt,01_by_type/other/txt/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/saved_chats/2023-03-29_TraininganInteractiveSystemtoRespondtoCommandsandQuestions.txt,other,txt
DUP0013,9a3bfe99aabe0e96c7ab81cc0b40f84af52b42cb055b0649574bedbb621261b9,4507,JARVIS-ChatGPT-main_1,00_sources_preserved/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/saved_chats/2023-03-26_TipsforRunningScriptsatSystemStartuponWindowsandLinux.txt,01_by_type/other/txt/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/saved_chats/2023-03-26_TipsforRunningScriptsatSystemStartuponWindowsandLinux.txt,other,txt
DUP0013,9a3bfe99aabe0e96c7ab81cc0b40f84af52b42cb055b0649574bedbb621261b9,4507,JARVIS-ChatGPT-main_1,00_sources_preserved/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/saved_chats/2023-03-26_TipsforRunningStartup.txt,01_by_type/other/txt/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/saved_chats/2023-03-26_TipsforRunningStartup.txt,other,txt
DUP0014,9be112ecf14638cc63059db39eee38ffb5b76382bde681341488779fc7909330,2229,JARVIS-ChatGPT-main_1,00_sources_preserved/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/saved_chats/2023-03-26_RevolutionizingHealthcare.txt,01_by_type/other/txt/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/saved_chats/2023-03-26_RevolutionizingHealthcare.txt,other,txt
DUP0014,9be112ecf14638cc63059db39eee38ffb5b76382bde681341488779fc7909330,2229,JARVIS-ChatGPT-main_1,00_sources_preserved/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/saved_chats/2023-03-26_RevolutionizingHealthcarewithArtificialIntelligenceBenefitsandOpportunities.txt,01_by_type/other/txt/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/saved_chats/2023-03-26_RevolutionizingHealthcarewithArtificialIntelligenceBenefitsandOpportunities.txt,other,txt
DUP0015,a607744cfda1568d891c429112359479d75ac5ee2f086712a12a8d70320755bb,6786,JARVIS-ChatGPT-main_1,00_sources_preserved/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/saved_chats/2023-03-26_NuclearandElectricPropulsioninSpaceExplorationAdvantagesandChallenges.txt,01_by_type/other/txt/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/saved_chats/2023-03-26_NuclearandElectricPropulsioninSpaceExplorationAdvantagesandChallenges.txt,other,txt
DUP0015,a607744cfda1568d891c429112359479d75ac5ee2f086712a12a8d70320755bb,6786,JARVIS-ChatGPT-main_1,00_sources_preserved/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/saved_chats/2023-03-26_SpacePropulsion.txt,01_by_type/other/txt/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/saved_chats/2023-03-26_SpacePropulsion.txt,other,txt
DUP0016,a6b44fa5e72fa8e2048e3bf65332bb72ab5d095bc4de7a79155e54853afb6e92,2589,coqui-voice-pack-2_1,00_sources_preserved/coqui-voice-pack-2_1/coqui-voice-pack-2/README.md,01_by_type/docs/readmes_guides/coqui-voice-pack-2_1/coqui-voice-pack-2/README.md,docs,readmes_guides
DUP0016,a6b44fa5e72fa8e2048e3bf65332bb72ab5d095bc4de7a79155e54853afb6e92,2589,coqui-voice-pack-2_1__archive2,00_sources_preserved/coqui-voice-pack-2_1__archive2/coqui-voice-pack-2/README.md,01_by_type/docs/readmes_guides/coqui-voice-pack-2_1__archive2/coqui-voice-pack-2/README.md,docs,readmes_guides
DUP0017,bc0fc501321acb804c9ec2acad0baaf2eba20f216de42bd4ee5383e908370fd3,787,JARVIS-ChatGPT-main_1,00_sources_preserved/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/saved_chats/2023-03-30_TagBeerBasics.txt,01_by_type/other/txt/JARVIS-ChatGPT-main_1/JARVIS-ChatGPT-main/saved_chats/2023-03-30_TagBeerBasics.txt,other,txt
