identifier,birth_place,native_language,other_languages,age,sex,age_of_english_onset,english_learning_method,english_residence,length_of_english_residence,mp3_name
albanian11,"gjilan, kosovo",albanian,spanish,24.0,female,13.0,academic,usa,8 years,albanian11.mp3
albanian12,"tirana, albania",albanian,italian,51.0,male,14.0,naturalistic,usa,27 years,albanian12.mp3
albanian13,"durres, albania",albanian,spanish,18.0,female,8.0,academic,usa,4 years,albanian13.mp3
albanian14,"tirana, albania",albanian,italian,23.0,female,9.0,academic,usa,4 years,albanian14.mp3
amazigh1,"tata, morocco",amazigh,french arabic spanish,37.0,male,32.0,academic,usa,7 years,amazigh1.mp3
amazigh2,"ouarzazat, morocco",amazigh,arabic french,39.0,male,16.0,academic,usa,4 years,amazigh2.mp3
american sign language1,"philadelphia, pennsylvania, usa",american sign language,arabic,19.0,female,4.0,academic,usa,19 years,american sign language1.mp3
american sign language2,"new york, new york, usa",american sign language,none,36.0,male,2.0,academic,usa,36 years,american sign language2.mp3
amharic1,"addis ababa, ethiopia",amharic,none,20.0,female,5.0,academic,usa,2 years,amharic1.mp3
amharic2,"arba minch, ethiopia",amharic,gamugna,23.0,male,7.0,academic,usa,2 years,amharic2.mp3
amharic3,"addis ababa, ethiopia",amharic,oromo,27.0,male,8.0,academic,usa,4 years,amharic3.mp3
amharic4,"addis ababa, ethiopia",amharic,none,20.0,male,7.0,academic,usa,2 years,amharic4.mp3
amharic5,"addis ababa, ethiopia",amharic,russian,31.0,male,7.0,academic,usa,3 years,amharic5.mp3
amharic6,"addis ababa, ethiopia",amharic,tigrigna,31.0,female,4.0,academic,usa,1 years,amharic6.mp3
amharic7,"addis ababa, ethiopia",amharic,kiswahili,38.0,male,13.0,academic,"kenya, usa",10 years,amharic7.mp3
amharic8,"addis ababa, ethiopia",amharic,arabic,30.0,female,12.0,academic,usa,20 years,amharic8.mp3
amharic9,"addis ababa, ethiopia",amharic,arabic,40.0,male,12.0,academic,"kenya, usa",7 years,amharic9.mp3
amharic10,"gonder, ethiopia",amharic,none,29.0,female,19.0,naturalistic,usa,10 years,amharic10.mp3
amharic11,"addis ababa, ethiopia",amharic,harari,24.0,female,17.0,academic,usa,9 years,amharic11.mp3
amharic12,"addis ababa, ethiopia",amharic,none,26.0,female,15.0,academic,usa,10 years,amharic12.mp3
amharic13,"addis ababa, ethiopia",amharic,none,28.0,female,6.0,academic,usa,9 years,amharic13.mp3
amharic14,"addis ababa, ethiopia",amharic,none,31.0,male,12.0,academic,usa,11 years,amharic14.mp3
amharic15,"addis ababa, ethiopia",amharic,tigrigna,23.0,male,6.0,academic,usa,1 years,amharic15.mp3
amharic16,"werder, ethiopia",amharic,none,36.0,male,11.0,academic,usa,10 years,amharic16.mp3
amharic17,"addis ababa, ethiopia",amharic,tigrigna,21.0,male,9.0,academic,usa,10 years,amharic17.mp3
amharic18,"addis ababa, ethiopia",amharic,french tigrigna,20.0,female,2.0,naturalistic,usa,7 years,amharic18.mp3
amharic19,"tefki, ethiopia",amharic,oromo,19.0,female,10.0,academic,usa,9 years,amharic19.mp3
amharic20,"addis ababa, ethiopia",amharic,french,52.0,female,24.0,academic,usa,1 years,amharic20.mp3
amharic21,"addis ababa, ethiopia",amharic,none,24.0,male,15.0,academic,usa,6 years,amharic21.mp3
amharic22,"addis ababa, ethiopia",amharic,none,35.0,female,12.0,academic,usa,5 years,amharic22.mp3
amharic23,"addis ababa, ethiopia",amharic,none,32.0,male,10.0,academic,usa,3 years,amharic23.mp3
amharic24,"addis ababa, ethiopia",amharic,arabic spanish,19.0,male,11.0,naturalistic,usa,8 years,amharic24.mp3
amharic25,"addis ababa, ethiopia",amharic,arabic,24.0,female,21.0,academic,usa,3 years,amharic25.mp3
amharic26,"addis ababa, ethiopia",amharic,tigrigna,30.0,female,23.0,naturalistic,usa,7 years,amharic26.mp3
amharic27,"addis ababa, ethiopia",amharic,none,18.0,female,5.0,naturalistic,usa,11 years,amharic27.mp3
arabic1,"riyadh, saudi arabia",arabic,none,38.0,female,12.0,academic,usa,4 years,arabic1.mp3
arabic2,"damascus, syria",arabic,none,18.0,male,2.5,naturalistic,usa,3 years,arabic2.mp3
arabic3,"doha, qatar",arabic,none,24.0,male,9.0,academic,usa,1 years,arabic3.mp3
arabic4,"sharjah, united arab emirates",arabic,french,19.0,male,6.0,academic,usa,0.6 years,arabic4.mp3
arabic5,"casablanca, morocco",arabic,french,19.0,female,15.0,academic,usa,0.6 years,arabic5.mp3
arabic6,"sanaa, yemen",arabic,none,21.0,male,14.5,academic,"uk,usa",2 years,arabic6.mp3
arabic7,"casablanca, morocco",arabic,french,18.0,female,15.0,academic,usa,0.1 years,arabic7.mp3
arabic8,"casablanca, morocco",arabic,french,21.0,male,17.0,academic,usa,0.7 years,arabic8.mp3
arabic9,"jerusalem, israel",arabic,none,28.0,female,4.0,academic,usa,12 years,arabic9.mp3
arabic10,"cairo, egypt",arabic,french german,26.0,male,5.0,academic,usa,2 years,arabic10.mp3
arabic11,"monastir, tunisia",arabic,french,30.0,female,14.0,academic,usa,4 years,arabic11.mp3
arabic12,"baghdad, iraq",arabic,none,32.0,male,11.0,academic,usa,8 years,arabic12.mp3
arabic13,"zabbougha, lebanon",arabic,french swedish,25.0,male,15.0,academic,usa,1 years,arabic13.mp3
arabic14,"amman, jordan",arabic,hebrew,47.0,male,11.0,naturalistic,usa,25 years,arabic14.mp3
arabic15,"qayrawan, tunisia",arabic,french,40.0,male,33.0,naturalistic,usa,7 years,arabic15.mp3
arabic16,"meknes, morocco",arabic,french spanish,22.0,male,16.0,academic,,0 years,arabic16.mp3
arabic17,"settat, morocco",arabic,french,35.0,male,15.0,academic,,0 years,arabic17.mp3
arabic18,"kuwait city, kuwait",arabic,french,18.0,male,6.0,academic,,0 years,arabic18.mp3
arabic19,"khouribga, morocco",arabic,french,43.0,male,18.0,academic,usa,8 years,arabic19.mp3
arabic20,"chtaura, beqa valley, lebanon",arabic,french german,36.0,male,12.0,academic,usa,1 years,arabic20.mp3
arabic21,"beirut, lebanon",arabic,french,46.0,female,30.0,naturalistic,usa,13 years,arabic21.mp3
arabic22,"abu dhabi, united arab emirates",arabic,french hebrew,23.0,female,10.0,academic,,0 years,arabic22.mp3
arabic23,"al mahalla, egypt",arabic,italian farsi french hebrew,42.0,male,13.0,academic,usa,8 years,arabic23.mp3
arabic24,"cairo, egypt",arabic,none,40.0,male,7.0,academic,uk,3 years,arabic24.mp3
arabic25,"ramun, israel (occupied territory)",arabic,french spanish,38.0,male,5.0,naturalistic,usa,33 years,arabic25.mp3
arabic26,"amman, jordan",arabic,none,43.0,female,14.0,academic,usa,28 years,arabic26.mp3
arabic27,"jerusalem, israel",arabic,farsi hebrew,70.0,male,10.0,academic,usa,30 years,arabic27.mp3
arabic28,"al-ayn, united arab emirates",arabic,none,30.0,male,12.0,academic,usa,1 years,arabic28.mp3
arabic29,"doha, qatar",arabic,none,19.0,male,17.0,academic,usa,0.3 years,arabic29.mp3
arabic30,"riyadh, saudi arabia",arabic,none,19.0,female,8.0,naturalistic,usa,11 years,arabic30.mp3
arabic31,"baghdad, iraq",arabic,none,47.0,female,12.0,academic,usa,0.3 years,arabic31.mp3
arabic32,"baghdad, iraq",arabic,none,42.0,male,12.0,academic,usa,16 years,arabic32.mp3
arabic33,"baghdad, iraq",arabic,none,28.0,female,11.0,academic,usa,0.3 years,arabic33.mp3
arabic34,"kuwait city, kuwait",arabic,french,34.0,female,6.0,academic,usa,4 years,arabic34.mp3
arabic35,"jiddah, saudi arabia",arabic,none,56.0,male,16.0,naturalistic,usa,33 years,arabic35.mp3
arabic36,"jiddah, saudi arabia",arabic,none,36.0,male,6.0,academic,"usa, uk",6 years,arabic36.mp3
arabic37,"jiddah, saudi arabia",arabic,none,18.0,male,16.0,academic,usa,0.4 years,arabic37.mp3
arabic38,"shady grove, maryland, usa",arabic,none,19.0,female,9.0,academic,usa,12 years,arabic38.mp3
arabic39,"jiddah, saudi arabia",arabic,none,22.0,male,5.0,academic,usa,2 years,arabic39.mp3
arabic40,"jiddah, saudi arabia",arabic,none,19.0,male,13.0,academic,usa,0.1 years,arabic40.mp3
arabic41,"riyadh, saudi arabia",arabic,none,25.0,male,7.0,academic,usa,1.5 years,arabic41.mp3
arabic42,"jiddah, saudi arabia",arabic,none,21.0,male,13.0,academic,usa,0.5 years,arabic42.mp3
arabic43,"beirut, lebanon",arabic,french spanish,29.0,female,8.0,academic,,0 years,arabic43.mp3
arabic44,"jiddah, saudi arabia",arabic,none,29.0,female,7.0,academic,usa,0.6 years,arabic44.mp3
arabic45,"fort collins, colorado, usa",arabic,turkish,32.0,female,12.0,naturalistic,usa,0.5 years,arabic45.mp3
arabic46,"jiddah, saudi arabia",arabic,none,28.0,male,13.0,academic,"uk, usa",1 years,arabic46.mp3
arabic47,"jiddah, saudi arabia",arabic,none,39.0,male,16.0,academic,usa,0.75 years,arabic47.mp3
arabic48,"mecca, saudi arabia",arabic,none,29.0,male,12.0,academic,usa,1 years,arabic48.mp3
arabic49,"medina, saudi arabia",arabic,none,26.0,male,8.0,academic,usa,1 years,arabic49.mp3
arabic50,"jiddah, saudi arabia",arabic,none,36.0,male,22.0,academic,usa,0.75 years,arabic50.mp3
arabic51,"jiddah, saudi arabia",arabic,none,23.0,male,12.0,academic,usa,4 years,arabic51.mp3
arabic52,"jiddah, saudi arabia",arabic,none,21.0,female,9.0,academic,usa,5 years,arabic52.mp3
arabic53,"rabat, morocco",arabic,french tachelhit danish swedish,36.0,male,17.0,academic,usa,12 years,arabic53.mp3
arabic54,"baghdad, iraq",arabic,french,22.0,male,7.0,academic,usa,3 years,arabic54.mp3
arabic55,"beirut, lebanon",arabic,french,70.0,male,33.0,academic,usa,37 years,arabic55.mp3
arabic56,"ain defla, algeria",arabic,french,43.0,male,12.0,academic,usa,3 years,arabic56.mp3
arabic57,"beirut, lebanon",arabic,french,28.0,female,17.0,academic,usa,11 years,arabic57.mp3
arabic58,"baghdad, iraq",arabic,none,34.0,male,9.0,academic,usa,5.5 years,arabic58.mp3
arabic59,"irbid, jordan",arabic,german,55.0,male,9.0,academic,usa,35 years,arabic59.mp3
arabic60,"cairo, egypt",arabic,french,60.0,male,14.0,academic,usa,23 years,arabic60.mp3
arabic61,"manama, bahrain",arabic,turkish urdu,20.0,male,7.0,academic,usa,1.75 years,arabic61.mp3
arabic62,"ad dammam, saudi arabia",arabic,none,19.0,male,18.0,academic,usa,1 years,arabic62.mp3
arabic63,"bani walid, libya",arabic,none,28.0,female,10.0,academic,usa,0.3 years,arabic63.mp3
arabic64,"riyadh, saudi arabia",arabic,none,23.0,male,6.0,naturalistic,usa,3 years,arabic64.mp3
arabic65,"samail, oman",arabic,none,32.0,female,10.0,academic,"canada, usa",6 years,arabic65.mp3
arabic66,"medina, saudi arabia",arabic,none,50.0,male,14.0,academic,usa,1 years,arabic66.mp3
arabic67,"nasriah, iraq",arabic,none,43.0,male,22.0,academic,usa,20 years,arabic67.mp3
arabic68,"london, uk",arabic,none,20.0,male,6.0,naturalistic,"uk, usa",9 years,arabic68.mp3
arabic69,"kerma, sudan",arabic,nobiin,55.0,female,15.0,academic,"uk, usa",21 years,arabic69.mp3
arabic70,"casablanca, morocco",arabic,french spanish,47.0,male,16.0,academic,usa,25 years,arabic70.mp3
arabic71,"kuwait city, kuwait",arabic,turkish spanish,29.0,female,21.0,naturalistic,usa,8 years,arabic71.mp3
arabic72,"baghdad, iraq",arabic,none,20.0,female,11.0,academic,usa,4.8 years,arabic72.mp3
arabic73,"nazareth, israel",arabic,hebrew,47.0,female,7.0,academic,usa,28 years,arabic73.mp3
arabic74,"alexandria, egypt",arabic,french,18.0,male,4.0,academic,usa,0.4 years,arabic74.mp3
arabic75,"riyadh, saudi arabia",arabic,none,26.0,female,2.0,naturalistic,usa,5.2 years,arabic75.mp3
arabic76,"jiddah, saudi arabia",arabic,none,25.0,male,4.0,naturalistic,usa,0.2 years,arabic76.mp3
arabic77,"ad dammam, saudi arabia",arabic,korean japanese,18.0,female,4.0,naturalistic,usa,1 years,arabic77.mp3
arabic78,"washington, district of columbia, usa",arabic,none,19.0,female,3.0,naturalistic,usa,8 years,arabic78.mp3
arabic79,"medina, saudi arabia",arabic,none,24.0,female,13.0,academic,usa,1 years,arabic79.mp3
arabic80,"najran, saudi arabia",arabic,none,25.0,male,11.0,academic,usa,2 years,arabic80.mp3
arabic81,"riyadh, saudi arabia",arabic,german,22.0,male,17.0,naturalistic,usa,3.6 years,arabic81.mp3
arabic82,"damascus, syria",arabic,none,42.0,male,12.0,academic,usa,0.3 years,arabic82.mp3
arabic83,"riyadh, saudi arabia",arabic,none,22.0,male,21.0,academic,usa,1 years,arabic83.mp3
arabic84,"medina, saudi arabia",arabic,none,26.0,female,12.0,academic,usa,2 years,arabic84.mp3
arabic85,"ad dammam, saudi arabia",arabic,none,24.0,female,14.0,academic,usa,0.4 years,arabic85.mp3
arabic86,"cairo, egypt",arabic,french spanish,28.0,male,3.0,academic,"usa, canada",2.8 years,arabic86.mp3
arabic87,"kuwait city, kuwait",arabic,turkish,49.0,female,10.0,academic,usa,0.5 years,arabic87.mp3
arabic88,"beirut, lebanon",arabic,french,19.0,female,4.0,academic,usa,3 years,arabic88.mp3
arabic89,"baghdad, iraq",arabic,none,35.0,female,19.0,academic,usa,16 years,arabic89.mp3
arabic90,"tripoli, libya",arabic,turkish,23.0,female,12.0,academic,usa,2.5 years,arabic90.mp3
arabic91,"riyadh, saudi arabia",arabic,none,57.0,female,12.0,academic,usa,8 years,arabic91.mp3
arabic92,"baghdad, iraq",arabic,dutch,36.0,male,10.0,academic,usa,2 years,arabic92.mp3
arabic93,"baghdad, iraq",arabic,none,27.0,female,10.0,academic,usa,4.8 years,arabic93.mp3
arabic94,"abu dhabi, united arab emirates",arabic,none,24.0,female,9.0,academic,usa,9 years,arabic94.mp3
arabic95,"kuwait city, kuwait",arabic,none,31.0,female,10.0,academic,usa,1 years,arabic95.mp3
arabic96,"riyadh, saudi arabia",arabic,none,21.0,male,7.0,academic,usa,2 years,arabic96.mp3
arabic97,"sharjah, united arab emirates",arabic,none,19.0,female,4.0,academic,,0 years,arabic97.mp3
arabic98,"ras al khaimah, united arab emirates",arabic,none,19.0,female,4.0,academic,,0 years,arabic98.mp3
arabic99,"ad dammam, saudi arabia",arabic,none,25.0,female,16.0,academic,usa,2 years,arabic99.mp3
arabic100,"beirut, lebanon",arabic,french german,40.0,female,10.0,academic,usa,20 years,arabic100.mp3
arabic101,"doha, qatar",arabic,none,21.0,male,10.0,academic,usa,2 years,arabic101.mp3
arabic102,"jiddah, saudi arabia",arabic,french,22.0,male,3.0,academic,usa,5 years,arabic102.mp3
arabic103,"baghdad, iraq",arabic,none,29.0,male,10.0,academic,usa,3 years,arabic103.mp3
arabic104,"riyadh, saudi arabia",arabic,none,31.0,female,6.0,academic,usa,4 years,arabic104.mp3
arabic105,"riyadh, saudi arabia",arabic,none,23.0,female,12.0,academic,,0 years,arabic105.mp3
arabic106,"riyadh, saudi arabia",arabic,none,28.0,male,12.0,academic,uk,2 years,arabic106.mp3
arabic107,"riyadh, saudi arabia",arabic,none,28.0,male,12.0,academic,australia,2 years,arabic107.mp3
arabic108,"riyadh, saudi arabia",arabic,none,30.0,female,10.0,academic,,0 years,arabic108.mp3
arabic109,"riyadh, saudi arabia",arabic,none,19.0,female,10.0,academic,,0 years,arabic109.mp3
arabic110,"riyadh, saudi arabia",arabic,none,27.0,male,7.0,academic,uk,7 years,arabic110.mp3
arabic111,"riyadh, saudi arabia",arabic,none,20.0,female,5.0,academic,usa,3 years,arabic111.mp3
arabic112,"riyadh, saudi arabia",arabic,none,19.0,female,3.0,academic,usa,2.5 years,arabic112.mp3
arabic113,"riyadh, saudi arabia",arabic,spanish,20.0,female,1.0,naturalistic,usa,4 years,arabic113.mp3
arabic114,"amman, jordan",arabic,none,23.0,female,4.0,academic,"uk, usa",5.5 years,arabic114.mp3
arabic115,"damascus, syria",arabic,hindi,41.0,female,19.0,academic,usa,22 years,arabic115.mp3
arabic116,"al ras, saudi arabia",arabic,none,30.0,female,13.0,academic,usa,4 years,arabic116.mp3
arabic117,"al ras, saudi arabia",arabic,none,40.0,male,37.0,academic,usa,3 years,arabic117.mp3
arabic118,"riyadh, saudi arabia",arabic,none,40.0,male,13.0,academic,"australia, usa",3 years,arabic118.mp3
arabic119,"jiddah, saudi arabia",arabic,none,29.0,male,13.0,academic,"uk, usa",17 years,arabic119.mp3
arabic120,"riyadh, saudi arabia",arabic,amharic tagalog tigrigna,31.0,male,13.0,academic,usa,3 years,arabic120.mp3
arabic121,"riyadh, saudi arabia",arabic,none,28.0,male,5.0,academic,usa,3 years,arabic121.mp3
arabic122,"sabt alalaya, saudi arabia",arabic,none,31.0,male,28.0,academic,usa,6 years,arabic122.mp3
arabic123,"riyadh, saudi arabia",arabic,none,26.0,male,12.0,academic,usa,0.3 years,arabic123.mp3
arabic124,"geulmim, morocco",arabic,french tachelhit,42.0,male,17.0,academic,usa,18 years,arabic124.mp3
arabic125,"beersheba, israel",arabic,hebrew italian,69.0,male,12.0,academic,usa,12 years,arabic125.mp3
arabic126,"beersheba, israel",arabic,hebrew,51.0,male,10.0,academic,usa,24 years,arabic126.mp3
arabic127,"tarshiha-maalot, israel",arabic,hebrew,51.0,female,14.0,academic,usa,24 years,arabic127.mp3
arabic128,"riyadh, saudi arabia",arabic,none,40.0,male,13.0,academic,usa,1.3 years,arabic128.mp3
arabic129,"ramallah, palestine",arabic,none,48.0,male,11.0,academic,usa,20 years,arabic129.mp3
arabic130,"unizah, saudi arabia",arabic,spanish,31.0,male,12.0,academic,usa,4.5 years,arabic130.mp3
arabic131,"riyadh, saudi arabia",arabic,none,20.0,male,17.0,academic,usa,4 years,arabic131.mp3
arabic132,"cairo, egypt",arabic,spanish,29.0,female,19.0,naturalistic,usa,11 years,arabic132.mp3
arabic133,"abha, saudi arabia",arabic,none,24.0,female,12.0,academic,,0 years,arabic133.mp3
arabic134,"abha, saudi arabia",arabic,none,29.0,female,13.0,academic,usa,0.1 years,arabic134.mp3
arabic135,"riyadh, saudi arabia",arabic,none,34.0,female,12.0,academic,usa,1 years,arabic135.mp3
arabic136,"cardiff, wales, uk",arabic,none,19.0,female,14.0,naturalistic,usa,5 years,arabic136.mp3
arabic137,"al-ayn, united arab emirates",arabic,none,20.0,male,7.0,academic,usa,0.7 years,arabic137.mp3
arabic138,"riyadh, saudi arabia",arabic,none,25.0,male,12.0,academic,usa,0.2 years,arabic138.mp3
arabic139,"khartoum, sudan",arabic,none,28.0,male,5.0,academic,usa,23 years,arabic139.mp3
arabic140,"taif, saudi arabia",arabic,none,26.0,female,6.0,academic,usa,2 years,arabic140.mp3
arabic141,"cairo, egypt",arabic,spanish,35.0,male,12.0,academic,australia,12 years,arabic141.mp3
arabic142,"almajmaah, saudi arabia",arabic,none,25.0,male,13.0,academic,"canada, uk, usa",0.5 years,arabic142.mp3
arabic143,"medina, saudi arabia",arabic,none,20.0,female,12.0,academic,usa,1 years,arabic143.mp3
arabic144,"laayoune, morocco",arabic,french,32.0,male,29.0,academic,usa,3 years,arabic144.mp3
arabic145,"riyadh, saudi arabia",arabic,none,22.0,female,9.0,academic,usa,5 years,arabic145.mp3
arabic146,"amman, jordan",arabic,none,27.0,male,17.0,academic,usa,9 years,arabic146.mp3
arabic147,"baha, saudi arabia",arabic,none,56.0,female,16.0,academic,,0 years,arabic147.mp3
arabic148,"taif, saudi arabia",arabic,none,18.0,female,12.0,academic,,0 years,arabic148.mp3
arabic149,"riyadh, saudi arabia",arabic,none,26.0,female,12.0,academic,usa,0.5 years,arabic149.mp3
arabic150,"riyadh, saudi arabia",arabic,none,25.0,female,12.0,academic,usa,2 years,arabic150.mp3
arabic151,"riyadh, saudi arabia",arabic,french,25.0,female,5.0,academic,usa,3 years,arabic151.mp3
arabic152,"riyadh, saudi arabia",arabic,none,28.0,female,7.0,naturalistic,usa,10 years,arabic152.mp3
arabic153,"kuwait city, kuwait",arabic,none,20.0,male,5.0,academic,"usa, uk",3.1 years,arabic153.mp3
arabic154,"baha, saudi arabia",arabic,none,64.0,male,12.0,academic,usa,3.5 years,arabic154.mp3
arabic155,"buraydah, saudi arabia",arabic,none,28.0,male,15.0,academic,"usa, canada",1.5 years,arabic155.mp3
arabic156,"cairo, egypt",arabic,none,18.0,female,6.0,academic,usa,3.5 years,arabic156.mp3
arabic157,"sanaa, yemen",arabic,none,38.0,female,6.0,academic,usa,2 years,arabic157.mp3
arabic158,"jakarta, indonesia",arabic,indonesian,22.0,male,8.0,academic,usa,5 years,arabic158.mp3
arabic159,"medina, saudi arabia",arabic,none,19.0,male,14.0,naturalistic,usa,1 years,arabic159.mp3
arabic160,"amman, jordan",arabic,french,26.0,female,3.0,academic,usa,5 years,arabic160.mp3
arabic161,"minya, egypt",arabic,german french,38.0,female,12.0,academic,usa,10 years,arabic161.mp3
arabic162,"buraydah, saudi arabia",arabic,none,50.0,male,12.0,academic,usa,8 years,arabic162.mp3
arabic163,"bouznika, morocco",arabic,french,27.0,female,14.0,academic,usa,3 years,arabic163.mp3
arabic164,"sale, morocco",arabic,french,30.0,female,15.0,academic,usa,2 years,arabic164.mp3
arabic165,"beirut, lebanon",arabic,french,62.0,female,12.0,academic,usa,20 years,arabic165.mp3
arabic166,"buraydah, saudi arabia",arabic,none,18.0,male,17.0,academic,usa,1 years,arabic166.mp3
arabic167,"alkharj, saudi arabia",arabic,none,24.0,male,19.0,academic,usa,0.5 years,arabic167.mp3
arabic168,"jiddah, saudi arabia",arabic,none,42.0,female,21.0,academic,usa,11 years,arabic168.mp3
arabic169,"tripoli, libya",arabic,french swedish,21.0,female,11.0,naturalistic,usa,2 years,arabic169.mp3
arabic170,"vienna, virginia, usa",arabic,none,19.0,female,6.0,naturalistic,usa,9 years,arabic170.mp3
arabic171,"medina, saudi arabia",arabic,none,22.0,male,18.0,academic,usa,5 years,arabic171.mp3
arabic172,"montgomery, alabama, usa",arabic,none,39.0,male,13.0,academic,usa,6 years,arabic172.mp3
arabic173,"tyre, lebanon",arabic,none,43.0,female,19.0,naturalistic,usa,23 years,arabic173.mp3
arabic174,"riyadh, saudi arabia",arabic,none,23.0,female,8.0,academic,usa,0.9 years,arabic174.mp3
arabic175,"jiddah, saudi arabia",arabic,none,30.0,male,20.0,academic,usa,8 years,arabic175.mp3
arabic176,"jiddah, saudi arabia",arabic,none,19.0,male,6.0,naturalistic,usa,0.1 years,arabic176.mp3
arabic177,"riyadh, saudi arabia",arabic,none,26.0,male,12.0,academic,usa,0.5 years,arabic177.mp3
arabic178,"jiddah, saudi arabia",arabic,none,57.0,male,18.0,academic,usa,1 years,arabic178.mp3
arabic179,"riyadh, saudi arabia",arabic,none,26.0,male,13.0,academic,usa,8 years,arabic179.mp3
arabic180,"riyadh, saudi arabia",arabic,none,18.0,male,12.0,academic,usa,1 years,arabic180.mp3
arabic181,"riyadh, saudi arabia",arabic,none,19.0,male,12.0,academic,usa,0.2 years,arabic181.mp3
arabic182,"riyadh, saudi arabia",arabic,none,32.0,female,12.0,academic,usa,0.6 years,arabic182.mp3
arabic183,"riyadh, saudi arabia",arabic,none,27.0,female,17.0,academic,usa,6 years,arabic183.mp3
arabic184,"riyadh, saudi arabia",arabic,none,21.0,male,12.0,academic,usa,7 years,arabic184.mp3
arabic185,"riyadh, saudi arabia",arabic,none,35.0,male,12.0,academic,usa,0.5 years,arabic185.mp3
arabic186,"riyadh, saudi arabia",arabic,none,24.0,female,19.0,academic,usa,6 years,arabic186.mp3
arabic187,"riyadh, saudi arabia",arabic,none,20.0,female,15.0,academic,usa,6 years,arabic187.mp3
arabic188,"riyadh, saudi arabia",arabic,none,20.0,male,6.0,academic,usa,5 years,arabic188.mp3
arabic189,"riyadh, saudi arabia",arabic,none,18.0,female,12.0,academic,usa,2 years,arabic189.mp3
arabic190,"riyadh, saudi arabia",arabic,none,25.0,female,15.0,academic,usa,0.2 years,arabic190.mp3
arabic191,"riyadh, saudi arabia",arabic,none,21.0,female,7.0,academic,usa,5 years,arabic191.mp3
arabic192,"riyadh, saudi arabia",arabic,none,19.0,female,7.0,academic,usa,4 years,arabic192.mp3
arabic193,"riyadh, saudi arabia",arabic,none,29.0,male,18.0,academic,usa,7 years,arabic193.mp3
arabic194,"riyadh, saudi arabia",arabic,none,20.0,male,12.0,academic,usa,0.1 years,arabic194.mp3
arabic195,"tunis, tunisia",arabic,french,53.0,female,13.0,academic,usa,13 years,arabic195.mp3
arabic196,"cairo, egypt",arabic,french,39.0,male,7.0,academic,usa,11 years,arabic196.mp3
arabic197,"khartoum, sudan",arabic,none,66.0,male,14.0,academic,usa,36 years,arabic197.mp3
arabic198,"damascus, syria",arabic,french,56.0,male,15.0,academic,usa,30 years,arabic198.mp3
arabic199,"kenitra, morocco",arabic,french,26.0,female,14.0,academic,usa,0.3 years,arabic199.mp3
arabic200,"jerusalem, israel",arabic,spanish,48.0,female,12.0,academic,usa,24 years,arabic200.mp3
arabic201,"cairo, egypt",arabic,none,53.0,female,29.0,academic,usa,29 years,arabic201.mp3
armenian1,"yerevan, armenia",armenian,russian french,19.0,female,9.0,academic,usa,1 years,armenian1.mp3
armenian2,"tehran, iran",armenian,farsi,44.0,female,7.0,academic,usa,5 years,armenian2.mp3
armenian3,"yerevan, armenia",armenian,russian,54.0,female,12.0,academic,usa,6 years,armenian3.mp3
armenian4,"tbilisi, republic of georgia",armenian,russian,27.0,female,12.0,academic,usa,4.5 years,armenian4.mp3
